CustomerKey,Title,LastName,BirthDate,MaritalStatus,Suffix,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,Region,Age,AccessoriesBuyer,GeographyKey
14995,,Malhotra,5/5/1985,S,,F,"$20,000.00 ",0,0,Partial High School,Manual,0,2,"8, rue de l´Avenir",,1 (11) 500 555-0180,6/27/2012,1-2 Miles,Europe,36,1,198
14996,,Gill,4/12/1981,S,,M,"$30,000.00 ",0,0,Partial College,Clerical,0,1,Unter Linden 934,,1 (11) 500 555-0114,6/30/2013,0-1 Miles,Europe,40,1,138
14997,,Cooper,12/2/1980,M,,M,"$30,000.00 ",0,0,Partial College,Clerical,0,1,Brunnenstr 6466,,1 (11) 500 555-0195,12/6/2011,0-1 Miles,Europe,41,1,161
14998,,Rodriguez,10/14/1979,S,,M,"$20,000.00 ",0,0,Partial High School,Manual,0,2,"360, avenue de Malakoff",,1 (11) 500 555-0142,6/4/2012,1-2 Miles,Europe,42,1,224
14999,,Morris,11/3/1978,S,,F,"$10,000.00 ",0,0,Partial High School,Manual,1,2,1767 Ham Dr.,,1 (11) 500 555-0160,1/2/2014,1-2 Miles,Europe,43,1,261
15000,,Zhou,11/19/1978,S,,F,"$10,000.00 ",0,0,Partial High School,Manual,0,2,Königsteiner Straße 241,,1 (11) 500 555-0129,2/24/2013,0-1 Miles,Europe,43,1,178
15001,,Lu,8/31/1978,S,,F,"$10,000.00 ",0,0,Partial High School,Manual,0,2,Auf dem Ufer 764,,1 (11) 500 555-0113,7/19/2013,1-2 Miles,Europe,43,1,165
15002,,Lin,10/4/1978,S,,F,"$20,000.00 ",0,0,Partial High School,Manual,0,2,"88, avenue de l´ Union Centrale",,1 (11) 500 555-0151,6/17/2012,0-1 Miles,Europe,43,1,180
15003,,Yang,9/17/1984,S,,M,"$20,000.00 ",0,0,Partial High School,Manual,0,2,"35, route de Marseille",,1 (11) 500 555-0173,6/9/2012,1-2 Miles,Europe,37,1,222
15004,,Hu,6/4/1979,S,,F,"$20,000.00 ",0,0,Partial High School,Manual,1,2,"5407, rue Lauriston",,1 (11) 500 555-0123,6/27/2012,1-2 Miles,Europe,42,1,191
15005,,Cooper,3/19/1984,S,,M,"$60,000.00 ",0,0,Partial College,Skilled Manual,0,2,2055 Seawind Dr.,,478-555-0132,12/16/2011,1-2 Miles,North America,37,1,337
15006,,Jackson,5/20/1984,M,,F,"$70,000.00 ",0,0,Partial College,Skilled Manual,1,2,3780 Angi Lane,,602-555-0171,12/2/2011,5-10 Miles,North America,37,0,383
15007,,Rubio,2/18/1983,S,,F,"$40,000.00 ",0,0,Partial High School,Clerical,0,2,495 Alameda Drive,,352-555-0115,2/24/2013,5-10 Miles,North America,38,1,49
15008,,Parker,5/27/1983,M,,M,"$40,000.00 ",0,0,Partial High School,Clerical,0,2,3197 Winterglenn Way,,432-555-0151,3/26/2013,1-2 Miles,North America,38,1,70
15009,,Patterson,12/8/1982,S,,F,"$30,000.00 ",0,0,Partial College,Skilled Manual,1,2,3175 Olivera Rd.,,312-555-0187,5/13/2013,5-10 Miles,North America,39,1,634
15010,,Suri,3/12/1983,M,,M,"$30,000.00 ",0,0,Partial College,Skilled Manual,1,2,9342 Temple Drive,,109-555-0114,12/23/2013,5-10 Miles,North America,38,1,299
15011,,Mitchell,5/13/1983,S,,F,"$60,000.00 ",0,0,Partial College,Skilled Manual,1,2,5537 Baltic Sea Ct.,,802-555-0115,7/9/2013,5-10 Miles,North America,38,1,315
15012,,Hughes,3/3/1982,M,,F,"$60,000.00 ",0,0,Partial College,Skilled Manual,1,2,8412 Jorge,,457-555-0190,12/20/2013,5-10 Miles,North America,39,1,626
15013,,Campbell,5/13/1982,S,,F,"$60,000.00 ",0,0,Partial College,Skilled Manual,0,2,6258 Stinson,#8,606-555-0185,5/3/2013,1-2 Miles,North America,39,1,329
15014,,Liu,7/15/1960,M,,M,"$30,000.00 ",3,0,Partial College,Clerical,0,2,7596 Green St.,,1 (11) 500 555-0131,9/8/2012,1-2 Miles,Pacific,61,1,19
15015,,Liu,11/3/1955,M,,M,"$30,000.00 ",3,0,Partial College,Clerical,0,2,1246 Glenside Ct.,,1 (11) 500 555-0159,10/3/2012,1-2 Miles,Pacific,66,0,39
15016,,Clark,8/12/1985,S,,M,"$40,000.00 ",0,0,Partial High School,Clerical,0,2,9177 Olympic Drive,,259-555-0179,12/5/2011,1-2 Miles,North America,36,1,300
15017,,Ramirez,4/21/1986,S,,F,"$20,000.00 ",0,0,Partial College,Skilled Manual,0,2,1 Smiling Tree Court,Space 55,486-555-0148,12/21/2011,1-2 Miles,North America,35,1,338
15018,,Martin,4/22/1957,M,,F,"$30,000.00 ",3,0,High School,Skilled Manual,0,2,6492 Cunningham Way,,1 (11) 500 555-0146,2/11/2013,1-2 Miles,Pacific,64,1,39
15019,,Ramos,9/24/1956,S,,F,"$30,000.00 ",3,0,High School,Skilled Manual,1,2,2796 Valley Crest Dr.,,1 (11) 500 555-0188,3/12/2013,5-10 Miles,Pacific,65,1,2
15020,,Ma,4/22/1957,M,,F,"$30,000.00 ",3,0,High School,Skilled Manual,0,2,9970 Loma Linda,,1 (11) 500 555-0132,7/23/2013,1-2 Miles,Pacific,64,1,22
15021,,Moore,10/9/1956,M,,M,"$30,000.00 ",3,0,High School,Skilled Manual,0,2,Midi-Couleurs,,1 (11) 500 555-0137,3/20/2013,1-2 Miles,Pacific,65,1,4
15022,,Gutierrez,11/12/1962,M,,F,"$40,000.00 ",2,0,Partial College,Clerical,0,2,2477 Everett Court,,1 (11) 500 555-0186,10/2/2012,1-2 Miles,Pacific,59,1,17
15023,,Watson,12/30/1984,M,,M,"$70,000.00 ",0,0,Partial College,Skilled Manual,1,2,6409 Queens Road,,175-555-0163,12/15/2011,5-10 Miles,North America,36,1,641
15024,,Jones,5/9/1969,M,,M,"$30,000.00 ",3,0,High School,Skilled Manual,1,2,845 Lay Brooke Way,,1 (11) 500 555-0115,4/9/2013,5-10 Miles,Pacific,52,1,32
15025,,Subram,1/15/1958,S,,F,"$40,000.00 ",2,0,Partial College,Clerical,1,2,3605 Haynes Court,,1 (11) 500 555-0119,8/7/2013,5-10 Miles,Pacific,63,1,36
15026,,Diaz,1/6/1958,S,,F,"$40,000.00 ",2,0,Partial College,Clerical,1,2,6896 Camino Norte,,1 (11) 500 555-0118,4/19/2013,5-10 Miles,Pacific,63,1,21
15027,,Jai,4/18/1959,M,,M,"$40,000.00 ",3,0,Partial College,Skilled Manual,1,2,1971 Cleveland Ave.,,1 (11) 500 555-0150,10/6/2012,5-10 Miles,Pacific,62,1,32
15028,,Alvarez,9/7/1985,S,,F,"$10,000.00 ",0,0,Partial College,Manual,0,1,151 Buchanan Ct,,1 (11) 500 555-0164,10/22/2012,0-1 Miles,Pacific,36,0,40
15029,,Ye,12/1/1984,S,,M,"$10,000.00 ",0,0,Partial College,Manual,1,1,5572 Running Springs Road,,1 (11) 500 555-0199,10/5/2012,2-5 Miles,Pacific,37,0,19
15030,,Zheng,1/9/1986,M,,M,"$20,000.00 ",0,0,Bachelors,Clerical,1,0,2228 Alhambra Avenue,,1 (11) 500 555-0121,10/24/2012,0-1 Miles,Pacific,35,1,35
15031,,Lin,8/27/1982,M,,M,"$10,000.00 ",0,0,High School,Manual,1,1,6912 Hamilton Avenue,,1 (11) 500 555-0146,2/12/2013,2-5 Miles,Pacific,39,1,7
15032,,Suarez,12/9/1981,S,,F,"$10,000.00 ",1,1,High School,Manual,0,0,8437 Holbrook Dr.,,1 (11) 500 555-0180,10/6/2012,2-5 Miles,Pacific,40,0,19
15033,,Moreno,12/30/1981,S,,F,"$10,000.00 ",1,1,High School,Manual,0,0,8826 Kinross Drive,,1 (11) 500 555-0143,10/25/2012,2-5 Miles,Pacific,39,1,11
15034,,Suarez,2/22/1985,S,,M,"$10,000.00 ",1,1,High School,Manual,0,0,6271 Ironwood Way,,1 (11) 500 555-0190,3/22/2013,2-5 Miles,Pacific,36,1,38
15035,,Mehta,8/10/1984,S,,M,"$10,000.00 ",1,1,High School,Manual,0,0,8408 Garcia Ranch Road,,1 (11) 500 555-0197,10/13/2012,2-5 Miles,Pacific,37,0,25
15036,,She,2/19/1985,S,,M,"$20,000.00 ",0,0,Bachelors,Clerical,1,0,9652 Los Angeles,,1 (11) 500 555-0161,10/15/2012,0-1 Miles,Pacific,36,1,15
15037,,Raji,2/19/1985,S,,M,"$20,000.00 ",0,0,Bachelors,Clerical,1,0,1679 Bay View Drive,,1 (11) 500 555-0160,10/22/2012,0-1 Miles,Pacific,36,1,14
15038,,Yang,1/9/1984,M,,M,"$20,000.00 ",0,0,Bachelors,Clerical,1,0,2989 Pepper Way,,1 (11) 500 555-0158,10/24/2012,0-1 Miles,Pacific,37,0,9
15039,,Xie,10/3/1982,S,,F,"$10,000.00 ",1,1,High School,Manual,0,0,4951 Coralie Drive,,1 (11) 500 555-0140,6/25/2013,1-2 Miles,Pacific,39,1,31
15040,,Lopez,12/8/1982,M,,M,"$10,000.00 ",1,1,High School,Manual,1,0,3175 Olivera Rd.,,1 (11) 500 555-0198,10/21/2012,2-5 Miles,Pacific,39,1,29
15041,,Goel,3/8/1983,M,,F,"$10,000.00 ",1,1,High School,Manual,1,0,1136 Lane Way,,1 (11) 500 555-0170,10/25/2012,2-5 Miles,Pacific,38,0,24
15042,,Perez,7/21/1982,S,,M,"$20,000.00 ",0,0,Partial College,Manual,0,0,1502 Marion Ct.,,1 (11) 500 555-0189,10/21/2012,0-1 Miles,Pacific,39,1,2
15043,,Gonzalez,11/7/1982,S,,M,"$20,000.00 ",0,0,Partial College,Manual,1,0,9392 16th St.,,1 (11) 500 555-0116,10/12/2012,0-1 Miles,Pacific,39,0,35
15044,,Hu,2/7/1983,S,,F,"$20,000.00 ",0,0,Partial College,Manual,1,0,4292 Wellington Avenue,,1 (11) 500 555-0112,10/14/2012,0-1 Miles,Pacific,38,1,37
15045,,Luo,4/16/1954,M,,F,"$20,000.00 ",2,0,Partial College,Manual,1,0,"8, rue Pierre-Demoulin",,1 (11) 500 555-0126,7/25/2013,0-1 Miles,Europe,67,1,218
15046,,Tang,5/17/1949,M,,F,"$40,000.00 ",1,0,Graduate Degree,Clerical,1,0,5056 Argyll Ave,,1 (11) 500 555-0134,7/18/2011,0-1 Miles,Europe,72,1,270
15047,,Vazquez,2/8/1967,M,,F,"$30,000.00 ",3,0,Graduate Degree,Clerical,1,0,5074 Ulfinian Way,,1 (11) 500 555-0165,7/19/2011,0-1 Miles,Europe,54,1,249
15048,,Yuan,12/17/1966,M,,F,"$30,000.00 ",3,0,Graduate Degree,Clerical,1,0,6126 Virgil Street,,1 (11) 500 555-0111,8/1/2011,0-1 Miles,Europe,55,1,271
15049,,Dominguez,3/21/1971,S,,M,"$10,000.00 ",1,1,High School,Manual,0,1,Buergermeister-ulrich-str 5800,,1 (11) 500 555-0124,11/26/2013,1-2 Miles,Europe,50,1,155
15050,,Miller,12/7/1971,S,,M,"$20,000.00 ",1,1,Partial College,Manual,0,0,Kampstr 7257,,1 (11) 500 555-0124,12/26/2011,1-2 Miles,Europe,50,0,160
15051,,McDonald,11/20/1965,S,,M,"$20,000.00 ",1,1,Partial College,Manual,0,0,5071 Almaden Dr.,,1 (11) 500 555-0179,8/9/2011,1-2 Miles,Europe,56,1,230
15052,,Moreno,5/2/1971,M,,F,"$20,000.00 ",1,1,Partial College,Manual,1,0,6558 Nulty Drive,,1 (11) 500 555-0148,2/13/2013,2-5 Miles,Europe,50,1,253
15053,,Andersen,11/5/1970,S,,M,"$10,000.00 ",1,1,High School,Manual,0,1,"600, avenue des Laurentides",,1 (11) 500 555-0147,9/17/2013,2-5 Miles,Europe,51,1,224
15054,,Anand,8/13/1964,S,,M,"$20,000.00 ",2,0,Partial College,Manual,1,1,Parise Straße 7556,,1 (11) 500 555-0142,12/6/2011,1-2 Miles,Europe,57,1,134
15055,,Torres,1/18/1965,M,,M,"$20,000.00 ",2,0,Partial College,Manual,1,1,Kulmer Straße 4625,,1 (11) 500 555-0180,11/30/2011,2-5 Miles,Europe,56,1,175
15056,,Suarez,9/29/1964,M,,F,"$20,000.00 ",2,0,Partial College,Manual,1,1,7129 Corte Bonita,,1 (11) 500 555-0196,8/13/2011,2-5 Miles,Europe,57,1,244
15057,,Chandra,6/23/1970,S,,F,"$20,000.00 ",2,0,Partial College,Manual,1,1,4012 Lime Ridge Drive,,1 (11) 500 555-0161,4/7/2013,2-5 Miles,Europe,51,1,253
15058,,Suarez,11/23/1970,M,,M,"$30,000.00 ",3,0,Graduate Degree,Clerical,1,0,2687 Apollo Way,,1 (11) 500 555-0187,8/10/2011,0-1 Miles,Europe,51,1,273
15059,,Zhu,9/10/1970,M,,F,"$30,000.00 ",3,0,Graduate Degree,Clerical,1,0,3359 Northwood Dr,,1 (11) 500 555-0175,8/9/2011,0-1 Miles,Europe,51,1,276
15060,,Vazquez,12/20/1969,S,,M,"$20,000.00 ",2,0,Partial College,Manual,1,1,"27, place Beaubernard",,1 (11) 500 555-0112,12/29/2013,2-5 Miles,Europe,52,1,222
15061,,Ma,11/25/1965,M,,F,"$30,000.00 ",3,0,Graduate Degree,Clerical,1,0,"208, chaussée de Tournai",,1 (11) 500 555-0111,6/21/2012,0-1 Miles,Europe,56,1,224
15062,,Alonso,3/22/1966,S,,F,"$30,000.00 ",3,0,Graduate Degree,Clerical,1,0,9923 Pampered Ct.,,1 (11) 500 555-0139,8/5/2011,0-1 Miles,Europe,55,1,264
15063,,Malhotra,12/17/1965,M,,F,"$30,000.00 ",3,0,Bachelors,Clerical,1,0,Postfach 8 11 55,,1 (11) 500 555-0116,12/19/2011,0-1 Miles,Europe,56,1,155
15064,,Rubio,1/31/1966,M,,M,"$30,000.00 ",3,0,Bachelors,Clerical,1,0,"4313, rue de Linois",,1 (11) 500 555-0143,6/10/2012,0-1 Miles,Europe,55,0,204
15065,,Gao,5/11/1981,S,,M,"$10,000.00 ",1,1,High School,Manual,0,1,Postfach 99 09 00,,1 (11) 500 555-0128,3/2/2013,2-5 Miles,Europe,40,1,123
15066,,Munoz,9/2/1975,M,,F,"$10,000.00 ",1,1,High School,Manual,1,1,"9, rue de Courtaboeuf",,1 (11) 500 555-0116,8/20/2013,5-10 Miles,Europe,46,1,222
15067,,Alvarez,8/5/1975,S,,F,"$10,000.00 ",2,2,High School,Manual,1,0,"44, rue du Départ",,1 (11) 500 555-0149,6/22/2012,0-1 Miles,Europe,46,1,209
15068,,Barnes,2/13/1981,S,,F,"$20,000.00 ",0,0,Partial College,Manual,0,1,Am Gallberg 2667,,1 (11) 500 555-0123,5/5/2013,2-5 Miles,Europe,40,1,160
15069,,Lal,9/20/1975,S,,M,"$20,000.00 ",0,0,Partial College,Manual,1,1,Krönerweg 26,,1 (11) 500 555-0126,3/3/2013,2-5 Miles,Europe,46,1,162
15070,,Navarro,10/7/1974,S,,M,"$10,000.00 ",2,2,High School,Manual,1,0,"1103, rue Lamarck",,1 (11) 500 555-0131,6/1/2012,0-1 Miles,Europe,47,1,204
15071,,Gutierrez,12/13/1981,S,,F,"$30,000.00 ",0,0,Bachelors,Clerical,1,0,"254, rue de Bas Marin",,1 (11) 500 555-0181,6/9/2012,0-1 Miles,Europe,40,0,187
15072,,Subram,1/1/1976,S,,F,"$30,000.00 ",0,0,Bachelors,Clerical,1,0,Attaché de Presse,,1 (11) 500 555-0165,6/9/2012,0-1 Miles,Europe,45,0,224
15073,,Chander,5/3/1981,M,,F,"$30,000.00 ",0,0,Bachelors,Clerical,1,0,Parise Straße 7551,Verkaufsabteilung,1 (11) 500 555-0141,12/2/2011,0-1 Miles,Europe,40,0,164
15074,,Perry,8/25/1925,M,,F,"$10,000.00 ",3,0,Bachelors,Clerical,0,2,Postfach 2 77 77,,1 (11) 500 555-0193,1/19/2014,0-1 Miles,Europe,96,1,171
15075,,Kelly,3/15/1926,M,,F,"$10,000.00 ",3,0,Bachelors,Clerical,0,2,2212 Palmer Rd,,1 (11) 500 555-0184,2/23/2013,0-1 Miles,Europe,95,1,237
15076,,Ramos,12/18/1974,M,,F,"$20,000.00 ",0,0,Partial College,Manual,0,1,Winterfeldtstr 4442,,1 (11) 500 555-0116,12/18/2013,1-2 Miles,Europe,47,1,162
15077,,Lopez,11/13/1974,M,,F,"$30,000.00 ",0,0,Bachelors,Clerical,1,0,8921 Jill Ave.,,1 (11) 500 555-0153,8/6/2011,0-1 Miles,Europe,47,1,279
15078,,Wilson,8/6/1980,S,,M,"$30,000.00 ",0,0,Bachelors,Clerical,0,0,6064 Brodia Court,,1 (11) 500 555-0124,8/4/2011,1-2 Miles,Europe,41,1,238
15079,,Martin,12/2/1974,M,,M,"$30,000.00 ",0,0,Bachelors,Clerical,1,0,"56, rue des Grands Champs",,1 (11) 500 555-0191,6/24/2012,0-1 Miles,Europe,47,1,223
15080,,Chandra,5/5/1986,M,,F,"$40,000.00 ",0,0,Graduate Degree,Clerical,1,0,Pappelallee 665,,1 (11) 500 555-0145,12/28/2011,0-1 Miles,Europe,35,1,134
15081,,Munoz,6/19/1975,M,,F,"$40,000.00 ",0,0,Graduate Degree,Clerical,1,0,6053 Frisbie Court,,1 (11) 500 555-0173,8/2/2011,0-1 Miles,Europe,46,1,256
15082,,Lal,12/11/1974,M,,M,"$40,000.00 ",0,0,Graduate Degree,Clerical,1,0,"118, rue Marbeuf",,1 (11) 500 555-0150,6/10/2012,0-1 Miles,Europe,47,1,190
15083,,Gutierrez,1/2/1975,M,,F,"$40,000.00 ",0,0,Graduate Degree,Clerical,1,0,5525 Lisa Lee Lane,,1 (11) 500 555-0156,9/15/2011,0-1 Miles,Europe,46,1,265
15084,,Serrano,9/16/1980,S,,F,"$40,000.00 ",0,0,Graduate Degree,Clerical,1,0,Winterfeldtstr 2529,,1 (11) 500 555-0186,1/22/2012,0-1 Miles,Europe,41,1,133
15085,,Jai,12/30/1974,S,,F,"$40,000.00 ",0,0,Graduate Degree,Clerical,1,0,"88, impasse Notre-Dame",,1 (11) 500 555-0113,7/30/2012,0-1 Miles,Europe,46,1,212
15086,,Dominguez,2/16/1980,S,,F,"$50,000.00 ",0,0,Graduate Degree,Skilled Manual,1,0,"8818, avenue de Villiers",,1 (11) 500 555-0158,7/15/2012,0-1 Miles,Europe,41,1,224
15087,,Sanz,4/30/1980,S,,F,"$50,000.00 ",0,0,Graduate Degree,Skilled Manual,0,0,3830 York Dr.,,1 (11) 500 555-0194,9/21/2011,0-1 Miles,Europe,41,1,232
15088,,Cai,3/5/1980,S,,F,"$50,000.00 ",0,0,Graduate Degree,Skilled Manual,1,0,5500 Grammercy Lane,,1 (11) 500 555-0159,9/18/2011,0-1 Miles,Europe,41,1,239
15089,,Prasad,5/2/1975,M,,M,"$50,000.00 ",0,0,Graduate Degree,Skilled Manual,1,0,8122 Mink Court,,1 (11) 500 555-0123,9/23/2011,0-1 Miles,Europe,46,1,268
15090,,Mehta,12/18/1969,S,,M,"$10,000.00 ",2,1,High School,Manual,1,2,Zur Lindung 1,,1 (11) 500 555-0187,7/23/2013,0-1 Miles,Europe,52,1,155
15091,,Madan,9/17/1973,M,,M,"$20,000.00 ",1,1,Partial College,Manual,1,0,Kampstr 989,,1 (11) 500 555-0195,5/6/2013,2-5 Miles,Europe,48,1,144
15092,,Morris,2/15/1960,M,,M,"$80,000.00 ",3,2,Partial College,Professional,1,1,Bundesallee 6234,,1 (11) 500 555-0146,4/18/2013,2-5 Miles,Europe,61,1,161
15093,,Moyer,8/16/1949,M,,M,"$70,000.00 ",5,1,High School,Professional,1,2,Midi-Couleurs,,1 (11) 500 555-0111,7/19/2012,2-5 Miles,Europe,72,1,198
15094,,Ortega,3/16/1955,M,,F,"$70,000.00 ",5,1,High School,Professional,1,2,"5710, rue Villedo",,1 (11) 500 555-0113,6/30/2012,10+ Miles,Europe,66,1,193
15095,,Shan,7/5/1950,M,,F,"$70,000.00 ",5,1,High School,Professional,0,2,"35, rue de Longchamp",,1 (11) 500 555-0195,7/15/2012,2-5 Miles,Europe,71,1,211
15096,Mr.,Schare,1/14/1951,M,,M,"$80,000.00 ",5,0,Bachelors,Management,1,2,Kulmer Straße 36,,157-555-0100,9/18/2013,10+ Miles,Europe,70,0,156
15097,,Bennett,10/21/1950,M,,F,"$110,000.00 ",3,4,Bachelors,Management,1,4,5283 Rishell Ct.,,1 (11) 500 555-0198,9/15/2011,5-10 Miles,Europe,71,1,241
15098,,Sanz,8/28/1951,S,,F,"$80,000.00 ",5,0,Partial College,Professional,0,2,"198, avenue du Québec",,1 (11) 500 555-0178,7/25/2013,10+ Miles,Europe,70,1,207
15099,,Ma,12/7/1951,S,,M,"$80,000.00 ",5,0,Partial College,Professional,1,2,"26, rue de l´Esplanade",,1 (11) 500 555-0160,6/13/2013,10+ Miles,Europe,70,1,185
15100,,Chandra,5/22/1952,M,,F,"$110,000.00 ",3,4,Bachelors,Management,0,4,Holzstr 7555,Kreditorenbuchhaltung,1 (11) 500 555-0176,1/4/2012,5-10 Miles,Europe,69,1,171
15101,,Shan,4/15/1952,S,,M,"$120,000.00 ",4,5,Bachelors,Management,1,1,Berliner Platz 224,,1 (11) 500 555-0120,1/4/2012,10+ Miles,Europe,69,1,162
15102,,Malhotra,2/11/1952,M,,M,"$130,000.00 ",4,4,Partial College,Professional,1,4,5053 F. Mt Hood Circle,,1 (11) 500 555-0180,10/15/2013,0-1 Miles,Europe,69,1,243
15103,,Lopez,9/5/1958,M,,M,"$80,000.00 ",4,2,Partial College,Professional,1,2,5950 Coggins Drive,,1 (11) 500 555-0110,3/3/2013,10+ Miles,Europe,63,1,269
15104,,Thompson,7/31/1969,M,,F,"$80,000.00 ",4,2,Partial College,Professional,1,2,"371, rue des Rosiers",,1 (11) 500 555-0117,7/20/2013,2-5 Miles,Europe,52,0,224
15105,,Rana,4/4/1971,M,,F,"$100,000.00 ",3,4,High School,Professional,1,3,Alderweg 9784,,1 (11) 500 555-0157,3/2/2013,10+ Miles,Europe,50,0,163
15106,,Navarro,5/3/1971,M,,M,"$170,000.00 ",3,4,High School,Professional,1,4,2403 Riverwood Circle,,1 (11) 500 555-0194,9/25/2011,10+ Miles,Europe,50,1,265
15107,,Saunders,1/17/1959,M,,M,"$90,000.00 ",4,2,Partial College,Professional,1,2,"34, route de Marseille",,1 (11) 500 555-0167,3/26/2013,2-5 Miles,Europe,62,0,191
15108,,Gao,1/3/1959,M,,F,"$130,000.00 ",4,5,Partial College,Professional,1,2,5167 Oakmead,,1 (11) 500 555-0124,6/8/2013,0-1 Miles,Europe,62,1,252
15109,,Carlson,6/3/1974,M,,F,"$80,000.00 ",4,1,High School,Professional,1,2,"118, rue Marbeuf",,1 (11) 500 555-0115,6/13/2013,10+ Miles,Europe,47,0,219
15110,,Prasad,8/25/1957,M,,F,"$100,000.00 ",3,4,Partial College,Professional,1,4,Kampstr 9859,,1 (11) 500 555-0125,12/27/2013,2-5 Miles,Europe,64,0,147
15111,,Huang,9/5/1962,M,,F,"$80,000.00 ",4,1,High School,Professional,1,3,"22, rue du Puits Dixme",,1 (11) 500 555-0166,1/16/2014,2-5 Miles,Europe,59,0,192
15112,,Luo,11/14/1962,M,,F,"$80,000.00 ",4,1,High School,Professional,1,3,"88040, rue Basse-du-Rocher",,1 (11) 500 555-0149,2/11/2013,2-5 Miles,Europe,59,0,195
15113,,Smith,5/31/1962,M,,M,"$80,000.00 ",5,2,High School,Professional,1,2,Erftplatz 123,Verkaufsabteilung,1 (11) 500 555-0166,1/19/2014,10+ Miles,Europe,59,0,127
15114,,Munoz,4/25/1957,M,,F,"$110,000.00 ",4,5,Partial College,Professional,1,2,Galeriestr 626,,1 (11) 500 555-0113,1/1/2012,10+ Miles,Europe,64,1,176
15115,,Patterson,12/11/1955,S,,M,"$90,000.00 ",4,1,High School,Management,1,3,"33, rue Georges-Clémenceau",,1 (11) 500 555-0196,7/10/2013,10+ Miles,Europe,66,0,186
15116,,Ramirez,4/22/1961,M,,F,"$100,000.00 ",3,4,Partial College,Management,0,4,Knaackstr 44,Verkaufsabteilung,1 (11) 500 555-0172,1/1/2012,5-10 Miles,Europe,60,1,133
15117,,Dominguez,11/11/1954,M,,F,"$100,000.00 ",3,4,Partial College,Management,1,4,Carlsplatz 46,,1 (11) 500 555-0111,1/19/2012,10+ Miles,Europe,67,1,129
15118,,Ortega,1/6/1955,M,,M,"$170,000.00 ",5,5,High School,Management,1,4,916 Sandview Dr.,,1 (11) 500 555-0113,8/31/2011,10+ Miles,Europe,66,1,269
15119,,Tang,10/3/1958,M,,M,"$120,000.00 ",5,5,Partial High School,Professional,1,4,1873 Lyon Circle,,1 (11) 500 555-0113,5/25/2013,10+ Miles,Europe,63,1,256
15120,,Suarez,8/16/1981,M,,F,"$70,000.00 ",0,0,Bachelors,Professional,1,2,5160 Mt. Wilson Way,,1 (11) 500 555-0160,10/7/2012,10+ Miles,Pacific,40,1,34
15121,,Andersen,12/15/1981,S,,M,"$70,000.00 ",0,0,Bachelors,Professional,0,3,9119 Near Drive,,1 (11) 500 555-0110,10/24/2012,10+ Miles,Pacific,40,1,32
15122,,Raman,6/10/1982,S,,F,"$70,000.00 ",0,0,Bachelors,Professional,1,3,6937 E. 42nd Street,,1 (11) 500 555-0189,10/9/2012,10+ Miles,Pacific,39,1,27
15123,,Lopez,3/25/1981,S,,M,"$70,000.00 ",0,0,Bachelors,Professional,1,3,8461 Lodge Drive,,1 (11) 500 555-0174,7/27/2013,10+ Miles,Pacific,40,1,33
15124,,Hernandez,5/17/1980,S,,F,"$60,000.00 ",0,0,Bachelors,Professional,1,4,4346 Woodchuck Pl.,,1 (11) 500 555-0159,5/22/2013,10+ Miles,Pacific,41,1,37
15125,,Martinez,8/6/1980,S,,M,"$80,000.00 ",0,0,Bachelors,Professional,0,3,8981 Stafford Ave,,1 (11) 500 555-0180,2/15/2013,10+ Miles,Pacific,41,1,26
15126,,Sanchez,8/20/1980,S,,M,"$80,000.00 ",0,0,Bachelors,Professional,1,3,3628 Terra Granda,,1 (11) 500 555-0172,2/20/2013,10+ Miles,Pacific,41,1,31
15127,,Yang,2/10/1986,S,,M,"$90,000.00 ",0,0,Bachelors,Professional,0,2,74 Jamie Way,,1 (11) 500 555-0188,10/13/2012,10+ Miles,Pacific,35,1,5
15128,,Barnes,11/19/1979,S,,F,"$70,000.00 ",0,0,Bachelors,Professional,0,4,7090 Peabody Road,,1 (11) 500 555-0143,4/17/2013,10+ Miles,Pacific,42,1,26
15129,,Patterson,10/2/1984,M,,F,"$90,000.00 ",0,0,Bachelors,Professional,0,3,7572 Easley Drive,,1 (11) 500 555-0175,10/11/2012,10+ Miles,Pacific,37,1,25
15130,,Ma,9/10/1984,S,,M,"$90,000.00 ",0,0,Bachelors,Professional,0,3,616 Willow Court,,1 (11) 500 555-0133,10/7/2012,10+ Miles,Pacific,37,1,16
15131,,Sun,2/20/1983,S,,F,"$80,000.00 ",0,0,Bachelors,Professional,1,3,2540 Waterview Place,,1 (11) 500 555-0159,8/9/2013,10+ Miles,Pacific,38,1,8
15132,,Pal,9/19/1978,M,,F,"$100,000.00 ",0,5,High School,Management,1,2,2672 Viking Drive,,1 (11) 500 555-0143,7/27/2013,10+ Miles,Pacific,43,1,14
15133,,Rai,1/4/1979,M,,M,"$120,000.00 ",5,5,Partial High School,Professional,1,4,6384 Euclid Ave.,,1 (11) 500 555-0115,10/24/2012,10+ Miles,Pacific,42,1,20
15134,,Raman,5/21/1978,S,,F,"$90,000.00 ",0,0,Bachelors,Professional,1,3,5640 Icicle Way,,1 (11) 500 555-0151,10/23/2012,10+ Miles,Pacific,43,1,20
